1,2,3,4,5,6,7,8
41883.0,25.408203,-6.6824222,-6.6758637,-0.029376149,-0.0018781573,-0.0019361753,-0.00183798
41883.0,25.908203,-8.6324224,-8.6105452,-0.037589669,-0.0026043728,-0.0027736691,-0.002443064
41883.0,26.408203,-10.582422,-10.659221,-0.045597553,-0.0033734068,-0.0034615961,-0.003115274
41883.0,26.908203,-12.532422,-12.712749,-0.053745508,-0.0040719956,-0.0042494666,-0.0039413013
41883.0,27.408203,-14.482422,-14.734407,-0.059506297,-0.0048727319,-0.0049168207,-0.0046757758
41883.0,27.908203,-16.432423,-16.58338,-0.066131353,-0.0054801702,-0.0055361819,-0.0053067915
41883.0,28.408203,-18.382421,-18.5058,-0.072094798,-0.0061430782,-0.0063443873,-0.0060373135
41883.0,28.908203,-20.332422,-20.456379,-0.078254938,-0.0068385229,-0.0070151156,-0.0068114065
41883.0,29.408203,-22.282423,-22.4163,-0.083386898,-0.0076572821,-0.0077916048,-0.0075496882
41883.0,29.908203,-24.232422,-24.298222,-0.089496374,-0.0082974285,-0.0083748791,-0.0082755052
41883.0,30.408203,-26.182423,-26.227503,-0.095787644,-0.0089851767,-0.009118475,-0.0090313628
41883.0,30.908203,-28.132423,-28.265959,-0.099557638,-0.0097080246,-0.0098709147,-0.0098236278
41883.0,31.408203,-30.082422,-30.160385,-0.10620058,-0.010477051,-0.010508197,-0.010534689
41883.0,31.908203,-32.032421,-32.071587,-0.11077523,-0.01117368,-0.011253699,-0.011354493
41883.0,32.408203,-33.982422,-34.046001,-0.11610985,-0.011858515,-0.011851067,-0.012144379
41883.0,32.908203,-35.932423,-36.012768,-0.1208365,-0.012541525,-0.012643531,-0.012943013
41883.0,33.408203,-37.882423,-37.92149,-0.1263231,-0.013315812,-0.013374972,-0.013699593
41883.0,33.908203,-39.832424,-39.860748,-0.13178885,-0.01399041,-0.013955886,-0.014520206
41883.0,34.408203,-41.782421,-41.868473,-0.13636649,-0.01483687,-0.014842564,-0.015342698
41883.0,34.908203,-43.732422,-43.761517,-0.14045835,-0.01547458,-0.015453472,-0.016154205
41883.0,35.408203,-45.682423,-45.672855,-0.14688373,-0.016232595,-0.016238339,-0.016965644
41883.0,35.908203,-47.632423,-47.760635,-0.15221238,-0.016978875,-0.01696967,-0.017834764
41883.0,36.408203,-49.582424,-49.646072,-0.15645623,-0.017677411,-0.017758792,-0.018665371
41883.0,36.908203,-51.532425,-51.595367,-0.16125441,-0.018473648,-0.018496186,-0.019472135
41883.0,37.408203,-53.482422,-53.560562,-0.16524792,-0.019127518,-0.019194324,-0.020306554
41883.0,37.908203,-55.432423,-55.576111,-0.17153919,-0.019942373,-0.019924844,-0.021166764
41883.0,38.408203,-57.382423,-57.437775,-0.17508864,-0.02061566,-0.020648539,-0.021956177
41883.0,38.908203,-59.332424,-59.355923,-0.17952323,-0.021338299,-0.021389712,-0.022789039
41883.0,39.408203,-61.282425,-61.390102,-0.18530488,-0.022200339,-0.022221733,-0.02362206
41883.0,39.908203,-63.232422,-63.301479,-0.1901269,-0.022904806,-0.0227929,-0.024461307
41883.0,40.408203,-65.182426,-65.190338,-0.19475222,-0.023629852,-0.023662632,-0.025179572
41883.0,40.908203,-67.132423,-67.204918,-0.1996547,-0.02433522,-0.024367513,-0.026039025
41883.0,41.408203,-69.08242,-69.172081,-0.20363033,-0.025180534,-0.025237584,-0.026887964
41883.0,41.908203,-71.032425,-71.078606,-0.20964146,-0.025875635,-0.025862776,-0.027676754
41883.0,42.408203,-72.982422,-73.046425,-0.213328,-0.026601017,-0.026742244,-0.028533131
41883.0,42.908203,-74.932426,-75.010124,-0.21907091,-0.027398169,-0.027485345,-0.029437134
41883.0,43.408203,-76.882423,-76.965797,-0.22313595,-0.02815558,-0.028152954,-0.030291326
41883.0,43.908203,-78.83242,-78.890617,-0.22749007,-0.028908052,-0.028961074,-0.03108215
41883.0,44.408203,-80.782425,-80.876854,-0.23317039,-0.029665761,-0.029682828,-0.031866852
41883.0,44.908203,-82.732422,-82.822243,-0.23728907,-0.030485258,-0.030441167,-0.032785758
41883.0,45.408203,-84.682426,-84.705826,-0.24252534,-0.031207547,-0.031305756,-0.03359171
41883.0,45.908203,-86.632423,-86.668282,-0.24494827,-0.0319703,-0.031915858,-0.034406923
